"","ID","V","I","W"
"814",1813,"V22",861,2
"815",1814,"V22",861,2
"816",1817,"V22",864,3
"817",1815,"V22",864,3
"818",1816,"V22",864,3
"819",1818,"V22",865,1
"820",1819,"V22",867,2
"821",1820,"V22",867,2
"822",1821,"V22",868,1
"823",1822,"V22",871,3
"824",1823,"V22",871,3
"825",1824,"V22",871,3
"826",1825,"V22",873,2
"827",1826,"V22",873,2
"828",1827,"V22",874,1
"829",1828,"V22",878,1
"830",1829,"V22",882,3
"831",1830,"V22",882,3
"832",1831,"V22",882,3
"833",1832,"V22",883,1
"834",1833,"V22",884,1
"835",1834,"V22",889,2
"836",1835,"V22",889,2
"837",1838,"V22",894,5
"838",1839,"V22",894,5
"839",1840,"V22",894,5
"840",1836,"V22",894,5
"841",1837,"V22",894,5
"842",1845,"V22",901,7
"843",1846,"V22",901,7
"844",1847,"V22",901,7
"845",1841,"V22",901,7
"846",1842,"V22",901,7
"847",1843,"V22",901,7
"848",1844,"V22",901,7
"849",1852,"V22",906,5
"850",1851,"V22",906,5
"851",1850,"V22",906,5
"852",1849,"V22",906,5
"853",1848,"V22",906,5
"854",1854,"V22",908,2
"855",1853,"V22",908,2
"856",1855,"V22",911,2
"857",1856,"V22",911,2
"858",1860,"V22",915,4
"859",1857,"V22",915,4
"860",1858,"V22",915,4
"861",1859,"V22",915,4
"862",1865,"V22",920,5
"863",1864,"V22",920,5
"864",1863,"V22",920,5
"865",1861,"V22",920,5
"866",1862,"V22",920,5
"867",1873,"V22",929,9
"868",1874,"V22",929,9
"869",1872,"V22",929,9
"870",1869,"V22",929,9
"871",1870,"V22",929,9
"872",1871,"V22",929,9
"873",1868,"V22",929,9
"874",1866,"V22",929,9
"875",1867,"V22",929,9
"876",1878,"V22",933,4
"877",1877,"V22",933,4
"878",1876,"V22",933,4
"879",1875,"V22",933,4
"880",1881,"V22",936,3
"881",1879,"V22",936,3
"882",1880,"V22",936,3
"883",1883,"V22",938,2
"884",1882,"V22",938,2
"885",1884,"V22",940,2
"886",1885,"V22",940,2
"887",1886,"V22",941,1
